Date,Time,User_Id,Transaction_Amount,Transaction_Type,Account_Balance,Market_Volatility_Index,Interest_Rate,Inflation_Rate,Stock_Index_Change,Investment_Duration_Days,Credit_Score,Device_Cpu_Usage,Device_Memory_Usage,Risk_Level
2023-01-20,22:48:00,U3733,1410.55,DEPOSIT,14997.29,19.82,4.14,1.7,-3.27,73,538,18.5,41.3,2
2023-06-25,19:33:00,U3980,1807.7,TRANSFER,12306.65,20.68,2.35,1.14,-2.97,202,675,31.6,76.5,1
2023-01-12,20:36:00,U9587,469.92,DEPOSIT,8270.87,24.03,2.06,2.44,-1.74,91,710,36,39.9,1
2023-11-04,22:25:00,U2214,293.19,DEPOSIT,9862.62,34.22,2.77,3.47,-0.98,175,392,87.1,94.1,1
2023-06-20,22:28:00,U4604,758.05,WITHDRAWAL,12114.18,28.04,4.42,1.85,-1.08,211,431,84.2,62,2
2023-01-13,17:42:00,U9459,4516.56,INVESTMENT,15601.58,23.32,3.01,3.26,0.15,231,721,10.4,86.3,0
2023-12-13,6:13:00,U4755,967.12,TRANSFER,7301.53,20.73,1.05,1.37,-0.57,85,515,15.4,62.8,1
2023-03-04,2:21:00,U2870,5494,INVESTMENT,8995.41,30.03,3.75,3.87,-0.56,353,391,13.4,85.5,2
2023-05-03,13:03:00,U2947,890.67,DEPOSIT,2165.82,30.69,1.91,4.1,-2.77,164,467,85.5,26.7,2
2023-05-27,11:21:00,U1085,1960.58,DEPOSIT,2880.27,21.83,4.07,5.97,-0.31,220,724,56.7,30.1,0
2023-10-22,17:25:00,U7550,861.71,TRANSFER,8024.49,22.67,0.69,3.91,0.17,201,724,10.5,83.8,0
2023-10-10,23:19:00,U2263,626.6,TRANSFER,6685.72,34.08,4,3.05,0.14,170,840,85.8,89.8,0
2023-07-17,16:43:00,U5963,326.89,TRANSFER,10682.91,32.71,3.41,2.31,1.63,120,819,73.6,87.6,0
2023-01-12,20:36:00,U4612,2170.43,INVESTMENT,14403.75,15.87,4.11,2.99,0.6,120,690,45.7,91.2,0
2023-06-01,8:34:00,U4077,468.6,TRANSFER,14023.13,20.12,5,2.28,-0.79,341,656,80,21.6,0
2023-05-20,7:41:00,U4479,1520.51,WITHDRAWAL,15519.99,20.7,4.01,1.04,1.09,314,760,52.6,20.3,0
2023-04-07,11:48:00,U3098,1851.94,WITHDRAWAL,15556.26,35.27,3.17,5.6,2.22,250,716,30.2,58,0
2023-02-15,3:03:00,U8013,626.71,DEPOSIT,6038.58,21.86,1.8,3.6,-3.15,25,773,46.3,70.1,1
2023-02-02,14:26:00,U9029,5054.19,INVESTMENT,9853.99,11.11,1.42,3.83,-1.06,41,457,82.2,22.5,2
2023-01-26,23:51:00,U8854,208.03,WITHDRAWAL,8191.98,15.42,2.24,1.56,-1.96,314,604,24.7,62.9,1
2023-09-25,20:09:00,U9949,1799.07,TRANSFER,11146.91,33.28,1.4,4.41,-3.27,140,676,50.3,17.7,1
2023-07-29,19:54:00,U7241,614.41,DEPOSIT,9295.23,29.31,4.78,3.47,-2.8,245,386,46,55.3,2
2023-04-13,12:36:00,U1188,671.29,DEPOSIT,11519.25,10.62,0.55,3.69,0.93,250,515,77.5,82.7,1
2023-02-02,16:50:00,U7358,1650.17,DEPOSIT,15312.56,32.66,1.47,2.81,1.87,98,568,63.7,63.4,1
2023-10-11,20:44:00,U6680,8401.05,INVESTMENT,21753.4,17.43,1.29,3.43,0.49,75,517,80.8,54.2,1
2023-04-29,8:08:00,U9182,1137.74,DEPOSIT,11117.65,11.35,2.86,4.35,0.51,290,558,45,81,1
2023-06-17,7:15:00,U2969,1760.62,WITHDRAWAL,5535.29,37.02,1.12,1.79,-1.26,163,510,15.2,81.7,2
2023-04-27,3:54:00,U5539,310.62,TRANSFER,7282.76,34.7,2.11,4.52,1.03,128,347,36.3,16,1
2023-07-23,10:53:00,U1120,1606.39,INVESTMENT,15629.69,12.15,1.25,1.45,-1.77,241,637,46.2,18.7,1
2023-11-23,10:01:00, U1523 ,994.97,WITHDRAWAL,8459.24,10.09,3.35,1.24,-0.09,63,637,78.1,39.9,0
2023-06-21,15:33:00,U1230,396.64,WITHDRAWAL,8601.31,34.32,2.85,2.35,0.35,100,755,24.9,74.3,0
2023-06-10,22:45:00,U8361,9426.89,INVESTMENT,24169.6,31.13,4.8,2.48,0.78,244,554,85.8,77.5,2
2023-05-30,3:05:00,U1070,176,DEPOSIT,9580.93,29.81,4.5,1.54,-1.26,57,796,48,47.3,1
2023-12-19,21:00:00,U7204,9064.37,INVESTMENT,20148.26,12.88,4.35,3.96,-0.12,168,731,78.9,78.4,0
2023-07-17,6:56:00,U6323,256.56,WITHDRAWAL,6834.03,31.12,1.08,4.57,-1.9,227,302,56.4,82.6,2
2023-04-28,17:40:00,U9496,1133.22,DEPOSIT,3119.42,31.88,4.19,2.18,0.33,243,840,64.7,35.4,0
2023-02-12,8:24:00,U8122,420.14,DEPOSIT,8684.38,38.92,2.04,5.16,1.42,313,754,16.3,20.4,0
2023-04-12,15:42:00,U7374 ,2750.82,INVESTMENT,9037.91,13.65,2.03,5.76,-0.55,320,519,63.2,67.3,1
2023-09-10,8:17:00,U1233,"1,459.43",DEPOSIT,7063.67,37.95,0.78,2.71,1.04,240,488,75.5,70.2,1
2023-01-02,19:56:00,U5758,3046.22,INVESTMENT,6477.39,30.73,1.91,3.22,1.1,173,308,87.1,31.1,1
2023-01-15,19:08:00,U2499,870.48,TRANSFER,8041.41,11.79,4.73,5.16,-0.15,177,559,32.6,22,1
2023-09-08,15:19:00,U9528,1155.44,INVESTMENT,5977.01,14.68,4.28,4.63,-0.71,357,768,85.5,26.1,0
2023-07-09,15:18:00,U3537,618.42,DEPOSIT,11125.9,26.88,2.89,3.8,1.22,78,678,55.8,30.1,0
2023-06-16,4:22:00,U1887,294.18,WITHDRAWAL,11486.09,30.26,3.21,1.84,-0.28,112,395,53.2,92.6,1
2023-03-01,14:07:00,U1394,1397.46,INVESTMENT,8534.75,30.52,2.47,4.24,1.27,67,763,80.4,78.3,0
2023-07-25,9:47:00,U3561,585.29,TRANSFER,3071.53,35.04,0.85,2.31,-3.82,30,475,19.5,57.5,2
2023-06-21,5:00:00,U5047,382.63,TRANSFER,10343.53,31.24,3.68,5.81,-1.89,334,302,27.8,72.3,2
2023-01-12,20:36:00,U1232,1038.01,TRANSFER,3058.13,19.15,0.99,2.41,-1.84,32,513,62.6,21,2
2023-07-31,10:39:00,U6226,778.25,WITHDRAWAL,10391.53,17.99,1.28,3.55,1.2,299,507,34.8,18.4,1
2023-04-07,14:33:00,U5818,1575.66,TRANSFER,14154.66,16.45,0.77,5.4,0.01,67,361,38.9,36.1,1
2023-09-06,3:10:00,U5682,616.65,DEPOSIT,9954.49,34.48,1.53,4.39,-1.34,146,725,38.5,29.9,1
2023-12-16,11:28:00,U3236,2447.63,INVESTMENT,7549.77,24.28,2.13,2.05,-0.77,274,776,39.1,20.5,0
2023-08-24,15:13:00,U2812,1443.11,WITHDRAWAL,15883.16,27.64,4.47,2.78,-1.25,106,362,37.5,61.3,2
2023-03-26,12:27:00,U3443,7063.32,INVESTMENT,8073.35,20.59,2.37,2.78,-2.29,281,543,36.9,29.2,2
2023-02-08,7:58:00,U7168,9219.09,INVESTMENT,12147.41,31.16,0.79,4.04,0.45,194,642,47.8,66.2,1
2023-12-11,7:39:00,U5574,7860.78,INVESTMENT,8963.4,15.44,2.49,3.31,0.89,46,399,72.5,72.2,1
2023-06-19,1:53:00,U3885,1907.96,WITHDRAWAL,5167.85,14.02,3.93,3.45,0.25,79,686,59.9,52.5,0
2023-08-17,23:03:00,U8290,1960.31,DEPOSIT,10327.62,37.54,1.03,2.21,-1.32,27,778,32,26.8,1
2023-02-17,18:49:00,U5209,7823.67,INVESTMENT,12169.19,20.85,4.51,2.08,0.52,27,667,48.8,78.3,0
2023-10-09,3:51:00,U2737,1313.8,TRANSFER,6552.01,36.45,1.97,1.16,-1.43,280,656,65.2,81.3,1
2023-04-19,14:55:00,U6490,,INVESTMENT,12128.33,30.08,1.39,3.86,1.88,31,840,45,70.4,1
2023-11-01,1:22:00,U8431,1654.04,INVESTMENT,15907.58,10.25,4.81,1.3,-0.62,345,487,87.4,66,1
2023-10-30,12:05:00,U3201,4254.82,INVESTMENT,13493.53,37.53,1.6,3.14,1.99,307,704,24.4,94.9,0
2023-02-26,11:09:00,U1184,1520.34,DEPOSIT,4654,33.54,3.82,2.27,1.24,126,436,40.2,56.9,1
2023-07-03,0:19:00,U8084,406.88,DEPOSIT,12804.78,33.82,2.51,4.36,-0.78,94,754,32.6,61,0
2023-04-25,3:05:00,U4538,194.38,DEPOSIT,14678.65,10.63,3.26,1.53,-1.71,233,598,58.8,18.7,2
2023-07-20,22:14:00,U3619,1127.89,TRANSFER,1953.4,28.2,3.74,1.3,2.61,218,532,73.7,21.2,1
2023-03-04,11:46:00,U6955,1497.47,WITHDRAWAL,14186.22,13.14,2.46,4.47,-0.94,205,738,80.9,85.6,0
2023-09-04,2:09:00,U8254,489.81,WITHDRAWAL,5183.85,29.16,3.17,3.09,1.56,132,656,76.6,32.7,0
2023-07-05,12:42:00,U1680,6724.43,INVESTMENT,11930.46,12.53,4.64,1.85,-0.39,312,781,83.3,74.6,0
2023-01-28,17:27:00,U3050,601.46,DEPOSIT,1817.03,23.19,3.79,3.61,1.28,248,845,44.6,47.1,0
2023-11-24,4:38:00,U2971,5968.62,INVESTMENT,13527.63,27.88,2.53,4.12,-0.82,319,311,61.3,30.4,2
2023-11-01,19:37:00,U7357,1273.6,WITHDRAWAL,5217.15,16.19,1.3,2.8,-4.71,357,339,17.2,43.2,2
2023-01-02,14:27:00,U2758,1650.08,TRANSFER,8173.95,13.49,3.19,4.55,-0.63,25,331,72.3,33.7,1
2023-10-23,18:37:00,U7551,679.32,WITHDRAWAL,12962.2,32.94,2.78,4.94,2.16,25,374,32.3,67.4,1
2023-12-23,18:17:00,U1834,583.71,TRANSFER,6516.12,10.72,3.97,3.97,0.72,64,584,40.1,66.9,1
2023-04-29,2:55:00,U4388,6709.82,INVESTMENT,8394.18,24.25,0.57,3.45,1.46,216,835,79.1,73.4,0
2023-05-15,3:09:00,U9250,1433.3,WITHDRAWAL,7917.13,10.91,1.3,5.04,2.01,73,678,71.8,82.1,0
2023-01-12,20:36:00,U3790,654.5,DEPOSIT,8828.88,28.9,0.72,4.14,-0.14,211,810,21.4,89.3,0
2023-10-25,22:15:00,U1518,2624.66,INVESTMENT,8021.59,11.35,1.71,4.7,-0.46,7,788,52,47.1,0
2023-03-19,16:04:00,U4609,1160.49,DEPOSIT,5445.4,25.66,2.92,3.95,2.45,63,829,77,30,0
2023-02-25,13:52:00,U5167,8038.46,INVESTMENT,10503.13,36.49,1.34,3.06,-0.63,95,783,55.6,41.6,1
2023-12-28,4:47:00,U8066,1224.18,DEPOSIT,7568.13,28.91,0.7,2.39,0.53,163,672,48.6,63.6,0
2023-10-12,0:57:00,U3995,1487.5,TRANSFER,8821.47,20.14,1.64,1.04,0.57,161,619,63.2,29.8,0
2023-07-26,14:42:00,U1654,471.3,DEPOSIT,13576.91,37.61,2.03,2.69,-1.93,162,337,81.1,82.8,2
2023-09-26,2:56:00, U1858 ,4127.56,INVESTMENT,7153.61,31.25,4.72,2.5,0.13,114,507,38.7,74.6,1
2023-08-19,19:31:00,U8717,452.83,DEPOSIT,13111.79,14.68,4.29,1.2,-0.88,96,560,14.1,73.9,1
2023-01-19,19:36:00,U4413,9480.84,INVESTMENT,11958.21,33.54,1.51,4.68,1.82,306,762,20.6,64.3,1
2023-11-18,0:21:00,U8855,7043.09,INVESTMENT,17969.69,15.1,2.73,4.97,-0.17,125,359,37.7,70,1
2023-05-02,2:35:00,U8942,143.78,DEPOSIT,14907.89,13.99,2.11,2.53,-0.66,96,473,64.7,86.1,1
2023-01-30,23:17:00,U5690,1613.28,TRANSFER,2527.56,27.86,1,2.49,-0.38,352,351,89.7,78.9,1
2023-06-13,6:21:00,U6945,736.02,WITHDRAWAL,1967.63,13.8,2.7,5.08,0.46,64,404,36.2,70.4,1
2023-08-24,10:13:00,U1636,1179.39,DEPOSIT,14079.29,26.71,1.87,3.89,3.56,337,776,14.2,38.8,0
2023-02-07,0:58:00,U9862,6461.9,INVESTMENT,10005.71,13.31,1.61,3.18,-1.51,260,824,48.1,73.9,1
2023-04-13,8:23:00,U9184,1070.95,WITHDRAWAL,12599.75,39.76,3.63,5.05,1.9,143,449,30,88.8,1
2023-02-12,19:18:00,U5683,1682.66,WITHDRAWAL,13462.86,21.91,4.57,1.03,0.25,108,761,68.5,41,0
2023-03-18,22:22:00,U8936,1476.07,DEPOSIT,14368.86,12.1,3.27,4.92,-1.57,48,687,62.2,46.1,1
2023-12-18,16:58:00,U9619,377.83,TRANSFER,1813.09,19.51,1.73,5.76,2.13,197,617,64.1,56,0
2023-04-23,17:46:00,U2790,7355.74,INVESTMENT,21716.34,19.51,2.46,1.42,0.65,200,324,67.9,57.3,1
2023-03-08,9:34:00,U9553,489.61,WITHDRAWAL,1116.88,19.55,2.21,1.95,2.57,134,724,45.5,47.5,0
2023-10-12,12:04:00,U3413,792.77,TRANSFER,4295.1,36.26,0.58,1.28,-0.71,34,397,70.3,56.5,1
2023-01-01,11:54:00,U2938,1275.45,TRANSFER,9012.53,10.91,1.22,3.31,0.17,63,811,43.9,15.8,0
2023-02-25,17:31:00,U2991,200.3,TRANSFER,11012.12,36.96,4.98,2.87,0.12,53,757,31.2,74,0
2023-06-18,18:39:00,U4044,1110.79,INVESTMENT,10057.53,16.73,1.56,4.13,1.36,335,638,10.4,65.2,0
2023-12-22,18:00:00,U1020,148.59,WITHDRAWAL,1709.16,16.25,1.46,3.49,-1.92,177,700,19.1,28,1
2023-04-02,4:09:00,U2081,1977.14,TRANSFER,12734.82,14.23,3.69,2.99,-0.86,211,588,48.7,90.2,1
2023-02-10,6:19:00,U7599,1998.96,WITHDRAWAL,6718.45,17.5,3.06,3.69,-1.06,70,337,86.6,63.9,2
2023-09-29,16:52:00,U6655,651.96,TRANSFER,1290.34,20.69,4.17,4.71,-0.01,202,565,21.9,94.4,1
2023-08-12,8:28:00,U3387,3177,INVESTMENT,10631.56,13.96,1.72,2.01,0.61,296,542,28.7,54.3,1
2023-10-01,6:55:00,U4768,1213.71,WITHDRAWAL,14597.44,27.38,0.53,3.91,-0.73,206,693,39.6,76.5,0
2023-07-19,21:07:00,U1244,6537.28,INVESTMENT,14038.67,13.23,1.55,4.49,-1.29,238,426,68.5,52,2
2023-03-08,14:38:00,U6190,3062.55,INVESTMENT,3709.21,14.6,4.82,1.63,-0.75,266,669,73.5,87.3,0
2023-01-30,22:41:00,U9889,503.48,TRANSFER,11517.59,20.21,3.15,2,-1.39,50,641,62.1,71.1,1
2023-02-28,0:38:00,U3703,5266.06,INVESTMENT,10115.17,34.92,4.02,1.58,-0.59,236,423,81.2,89.1,2
2023-01-29,4:03:00,U5877,869.01,TRANSFER,2568.72,17.66,2.69,2.42,0.78,221,649,66,28,0
2023-01-24,19:21:00,U2212,155.02,WITHDRAWAL,9604.7,36.16,4.83,3.05,-0.14,115,736,23.3,92.2,0
2023-01-03,7:54:00,U9674,6715.8,INVESTMENT,13659.54,29.44,0.94,1.23,-0.29,357,539,25.7,26.1,2
2023-04-03,18:46:00,U2353,1111.79,WITHDRAWAL,9268.78,31.28,2.89,3.65,-0.53,145,414,61,67.8,1
2023-03-24,18:08:00,U3649,1227.14,INVESTMENT,5119.02,26.25,3.5,4.27,-0.33,89,394,72.6,20,1
2023-12-12,16:02:00,U6300,2298.78,INVESTMENT,14825.5,20.62,2.26,3,-0.94,124,606,75.9,46.6,0
2023-10-26,7:59:00,U6711,1028.07,WITHDRAWAL,7935.73,29.95,2.25,3.62,-0.53,104,519,54.9,41.4,1
2023-03-28,19:28:00,U4282,1942.96,DEPOSIT,6497.69,23.11,2.08,4.3,-0.24,264,420,83.8,91.6,1
2023-11-27,10:17:00,U9726,1080.73,WITHDRAWAL,1634.41,29.78,1.95,3.13,-0.75,153,342,24.8,67.4,1
2023-08-23,23:06:00,U8559,585.05,TRANSFER,5524.89,24.12,3.1,4.34,2.55,86,371,83.2,90.9,1
2023-10-10,7:24:00,U8735,1034.01,DEPOSIT,12606.25,27.97,2.19,3.62,1.48,316,809,47.1,39.5,0
2023-03-04,19:04:00,U8521,397.83,TRANSFER,4559.52,22.72,1.63,3.41,-0.28,233,673,66.1,72.7,0
2023-03-07,3:39:00,U8179,1642,WITHDRAWAL,12715.56,12.47,1.97,2.94,0.74,344,402,68.4,31.8,1
2023-07-11,4:12:00,U8014,771.55,TRANSFER,15160.09,10.75,3.92,5.36,1.02,314,504,81,60,1
2023-01-26,16:00:00,U8198,9952.16,INVESTMENT,17998.77,38.52,2.05,1.76,-0.23,146,735,42.1,68.8,1
2023-10-07,2:58:00,U9590,1313.16,WITHDRAWAL,14259.52,15.56,3.94,4.74,0.69,35,473,39.7,45.4,1
2023-09-02,14:16:00,U5510,372.15,TRANSFER,3345.87,14.41,3.79,5.87,1.64,193,329,59.4,45.9,1
2023-01-15,7:27:00,U3247,1602.21,WITHDRAWAL,3112.73,24.7,3.97,4.58,-1.13,208,817,45.4,82.3,1
2023-07-10,9:07:00,U4507,1374.01,WITHDRAWAL,5767.33,13.93,4.41,1.2,0.67,232,555,36.5,17.1,1
2023-02-06,16:55:00,U5103,2245.92,INVESTMENT,15425.81,26.3,2.95,2.82,0.91,359,571,53.8,40.8,1
2023-12-14,5:12:00,U6810,221.9,DEPOSIT,14970.76,33.58,1.43,4.5,2.59,351,601,72.2,67.9,0
2023-03-30,2:57:00,U5922,1890.77,TRANSFER,12570.97,31.58,3.94,4.29,0.45,342,434,74.3,92.6,1
2023-01-31,13:09:00,U9533,6260.5,INVESTMENT,7270.28,27.99,0.88,3.51,-2.37,119,507,65.5,31.2,2
2023-12-09,12:22:00,U2875,1811.43,TRANSFER,7931.99,13.87,2.47,5.34,1.8,96,607,87.3,59.4,0
2023-08-24,7:46:00,U2429,579.16,WITHDRAWAL,9261.27,39.27,4.33,2.2,0.22,108,679,69.4,40.3,0
2023-02-11,11:17:00,U6663,162.52,WITHDRAWAL,4663.78,37.14,2.73,4.63,0.92,187,815,55.7,53.3,0
2023-10-01,13:18:00,U9567,229.73,DEPOSIT,4491.03,11.24,4.85,4.74,0.7,218,437,66.3,48.9,1
2023-05-07,17:07:00,U8674,1338.56,WITHDRAWAL,16334.81,28.63,2.56,4.49,-2.47,23,324,17.4,43.4,2
2023-10-27,8:19:00,U6232,9895.74,INVESTMENT,20081.79,14.64,2.89,1.68,1.12,38,726,14.7,52.2,0
2023-01-20,5:28:00,U9257,3361.09,INVESTMENT,5056.37,20.15,1.84,5.16,1.36,188,414,31.4,33.5,1
2023-11-30,5:56:00,U7638,8944.61,INVESTMENT,16772.24,26.19,3.06,2.44,1.25,305,743,43.1,77.8,1
2023-07-03,12:17:00,U6603,7988.4,INVESTMENT,12646.52,37.93,4.25,2.46,-0.91,277,591,75.8,76.7,2
2023-11-24,20:06:00,U3111,1089.84,WITHDRAWAL,5336.53,10.2,4.89,4.01,0.31,39,721,36.6,53.9,0
2023-04-14,17:53:00,U5965,884.9,WITHDRAWAL,12189.5,29.1,4.29,2.51,0.77,140,392,48.7,17.9,1
2023-04-16,9:48:00,U6199,339.02,WITHDRAWAL,1105.54,22.59,4.04,2.61,-1.32,99,759,41.5,66.8,1
2023-04-13,13:59:00,U6598,1026.39,DEPOSIT,15473.43,19.07,0.98,2.94,-1.07,229,436,70.8,78.3,2
2023-07-07,22:11:00,U4450,1900.77,WITHDRAWAL,14581.04,26.48,2.85,2.16,-0.5,312,376,19.2,56.9,1
2023-08-15,10:54:00,U1173,1243.28,DEPOSIT,3130.07,28.79,4.72,1.34,0.39,332,732,54.2,78.2,0
2023-10-15,7:58:00,U4324,595.5,WITHDRAWAL,13965.82,19.8,0.96,3.24,0.68,97,705,74,53.2,0
2023-09-26,5:42:00,U9068,1083.62,TRANSFER,15966.07,32.33,2.06,3.95,-1.46,310,619,40.8,83.8,1
2023-11-10,9:57:00,U3508,1743.56,INVESTMENT,13117.89,10.61,0.83,5.71,-2.89,33,808,43.2,28.6,1
2023-09-19,15:49:00,U5142,1936.16,TRANSFER,3748.36,18.37,4.31,5.73,-0.54,364,597,61.6,29.1,1
2023-11-26,19:17:00,U5215,90.02,WITHDRAWAL,5124.36,32.48,1.8,5.62,-1.84,243,650,82.1,42.7,1
2023-01-10,3:23:00,U7422,1695.65,TRANSFER,15400.29,23.08,0.62,3.05,0.73,125,837,48.9,16.6,0
2023-01-22,7:11:00,U3454,1038.33,WITHDRAWAL,13916.32,33.72,4.47,2.56,-0.59,169,393,62,19.7,1
2023-01-03,6:21:00,U1619,"$9,638.44 ",INVESTMENT,22495.52,39.58,3.92,5.87,0.06,281,831,19.9,88.5,1
2023-09-02,2:45:00,U4995,952.56,WITHDRAWAL,3324.31,10.48,3.63,5.77,-0.65,46,817,48.7,69.2,0
2023-09-19,7:43:00,U3680,774.4,WITHDRAWAL,1530.25,27.37,3.15,2.47,-1.22,359,472,41.9,18.8,2
2023-11-02,6:00:00,U6729,524.78,TRANSFER,4999.53,31.48,2.06,1.94,1.6,54,727,11.4,89.9,0
2023-02-11,23:03:00,U3328,1919.35,INVESTMENT,13265.58,16.31,2.81,5.6,-0.04,191,482,88.7,55,1
2023-01-11,21:55:00,U5086,6638.11,INVESTMENT,18225.44,23.85,4.58,4.49,-1.78,227,781,20.6,50.8,1
2023-06-28,0:28:00,U2207,1046.26,INVESTMENT,7864.41,13.44,2.86,4.69,-1.92,116,383,16.2,71.4,2
2023-02-24,22:09:00,U2769,7480.07,INVESTMENT,14602.66,13.23,3.68,4.85,1.66,244,421,82.1,90.2,1
2023-01-05,14:12:00,U7837,471.38,TRANSFER,14540.86,34.51,3.7,2.36,2.26,319,493,70.7,20.6,1
2023-09-26,3:55:00,U8671,2053.11,INVESTMENT,3422.02,37,3.86,4.63,-2.84,321,311,84.3,30.6,2
2023-08-07,15:52:00,U6010,429.81,WITHDRAWAL,11635.9,22.63,2.84,4.22,0.21,148,441,31.8,73.8,1
2023-02-05,13:47:00,U8477,213.26,DEPOSIT,11084.63,16.64,4.48,3.65,0.68,299,751,52.5,44,0
2023-08-26,7:20:00,U8089,664.62,TRANSFER,1605.65,26.62,4.97,2.58,1.46,326,749,29.6,81.8,0
2023-09-12,2:46:00,U7390,402.16,TRANSFER,5980.04,31.94,2.88,2.34,0.15,187,649,12.2,57,0
2023-12-29,6:33:00,U1684,277.13,TRANSFER,6347.46,36.66,3.09,3.41,0.61,29,694,38.4,47.5,0
2023-01-28,16:41:00,U5738,1463.47,WITHDRAWAL,16405.38,10.26,4.71,5.37,-1.67,339,687,65.4,71.2,1
2023-01-10,9:35:00,U7228,9837.72,INVESTMENT,17415.42,36.15,3.87,4.91,1.03,189,647,51.2,33.7,1
2023-11-10,9:19:00,U8696,7492.54,INVESTMENT,13035.38,11.1,2.32,2.74,1.73,345,774,57.8,24.9,0
2023-10-05,23:35:00,U6138,1482.68,TRANSFER,9674.54,12.05,4.48,2.66,-1.79,294,326,14.9,94.7,2
2023-04-28,6:16:00,U3652,1491.23,TRANSFER,10109.13,23.88,4.47,3.18,0.65,99,398,64.9,49.2,1
2023-01-04,23:16:00,U6276,9641.51,INVESTMENT,21820.77,10.79,3.32,2.62,-3.61,163,779,31.9,43.7,1
2023-05-08,14:02:00,U7222,1149.14,TRANSFER,8664.96,17.45,2.22,1.75,-0.58,358,447,54.6,50.6,1
2023-08-31,22:05:00,U9084,966.33,DEPOSIT,8121.39,35.88,0.85,1.4,-1.04,120,558,42.7,37,2
2023-04-05,17:53:00,U8353,1320.14,INVESTMENT,6581.73,13.83,4.84,5.72,-3.49,168,592,22.3,32,2
2023-06-08,8:21:00,U7286,525.27,TRANSFER,10044.4,33.79,1.31,4.05,0.02,61,539,69.6,83,1
2023-11-11,9:57:00,U7859,1530.73,WITHDRAWAL,10814.16,30.76,4.7,5.9,-0.93,173,525,16.4,16.6,1
2023-04-14,9:07:00,U4865,948.31,TRANSFER,14423.91,27.37,3.45,2.25,0.31,128,549,33.3,64.2,1
2023-08-06,11:09:00,U4259,1679.05,WITHDRAWAL,10703.63,11.92,1.88,5.4,0.56,290,519,35.3,83.6,1
2023-05-26,8:17:00,U1626,1016.92,INVESTMENT,8045.93,35.52,1.79,1.37,-0.75,127,318,52,17.1,1
2023-03-19,1:45:00,U2740,3285.77,INVESTMENT,6114.96,38.82,1.58,2.58,0.06,340,757,25.4,78.9,0
2023-01-26,10:34:00,U7903,6676.3,INVESTMENT,11436.32,12.14,3.33,4.26,-0.37,215,631,16.4,33.3,0
2023-02-01,15:16:00,U8552,1456.77,WITHDRAWAL,10647.68,30.34,2.41,5.75,-2.48,63,303,39.3,73.6,2
2023-03-11,2:45:00,U6031,1667.31,DEPOSIT,8710.95,29.31,1.56,1.24,0.83,262,806,37.9,73,0
2023-05-15,21:47:00,U4506,9432.35,INVESTMENT,24060.42,16.32,2.56,2.24,-1.95,181,709,35,81.7,1
2023-08-10,3:52:00,U5844,7950.71,INVESTMENT,18146.44,24.69,0.95,4.63,-0.03,275,840,52.3,58,0
2023-09-16,2:08:00,U8607,283.67,TRANSFER,11793.68,30.37,4.72,5.82,-0.02,237,460,43.1,42.3,1
2023-05-04,20:05:00,U4495,1559.12,WITHDRAWAL,11057.19,37.68,3.39,1.47,-0.14,306,547,63.5,23.3,1
2023-04-26,2:00:00,U5019,124.14,TRANSFER,9073.09,16.77,3.71,3.76,2.54,210,815,65.7,76.3,0
2023-03-25,2:35:00,U3974,141.23,TRANSFER,15085.6,36.2,0.63,5.49,-0.8,252,603,62,55.3,0
2023-06-01,20:42:00,U9856,320.8,TRANSFER,14072.01,18.77,0.65,2.07,-0.13,163,614,88.9,85.8,0
2023-02-12,20:13:00,U1398,9045.87,INVESTMENT,23930.95,28.21,4.93,3.18,1.36,19,316,17,18.6,2
2023-10-24,3:08:00,U7619,1584.59,DEPOSIT,10326.85,34.08,2.4,4.64,1.86,73,549,53.6,92.2,1
2023-08-29,3:33:00,U8045,1505.1,TRANSFER,3804.66,10.75,2.16,4.56,0.81,14,571,75.7,25.2,1
2023-05-24,21:16:00,U9864,"$1,113.49 ",DEPOSIT,2092.16,28.12,2.31,4.26,2.27,9,484,89.4,68,1
2023-09-25,16:26:00,U4114,812.53,TRANSFER,4795.71,15.9,3.35,2.57,2.42,322,535,61.7,31.4,1
2023-04-22,21:24:00,U6439,1603.19,TRANSFER,13030.54,21.63,3.85,5.81,-1.87,264,582,67.1,94.9,2
