timestamp,user_id,transaction_amount,transaction_type,account_balance,market_volatility_index,interest_rate,inflation_rate,stock_index_change,investment_duration_days,credit_score,device_cpu_usage,device_memory_usage,risk_level
2023-01-20 22:48,U3733,1410.55,deposit,14997.29,19.82,4.14,1.7,-3.27,73,538,18.5,41.3,2
2023-06-25 19:33,U3980,1807.7,transfer,12306.65,20.68,2.35,1.14,-2.97,202,675,31.6,76.5,1
2023.08-22,U9587,469.92,deposit,8270.87,24.03,2.06,2.44,-1.74,91,710,36,39.9,1
2023-11-04 22:25,U2214,293.19,deposit,9862.62,34.22,2.77,3.47,-0.98,175,392,87.1,94.1,1
2023-06-20 22:28,U4604,758.05,withdrawal,12114.18,28.04,4.42,1.85,-1.08,211,431,84.2,62,2
2023-01-13 17:42,U9459,4516.56,investment,15601.58,23.32,3.01,3.26,0.15,231,721,10.4,86.3,0
2023-12-13 6:13,U4755,967.12,transfer,7301.53,20.73,1.05,1.37,-0.57,85,515,15.4,62.8,1
2023-03-04 2:21,U2870,5494,investment,8995.41,30.03,3.75,3.87,-0.56,353,391,13.4,85.5,2
2023-05-03 13:03,U2947,890.67,deposit,2165.82,30.69,1.91,4.1,-2.77,164,467,85.5,26.7,2
2023-05-27 11:21,U1085,1960.58,deposit,2880.27,21.83,4.07,5.97,-0.31,220,724,56.7,30.1,0
2023-10-22 17:25,U7550,861.71,transfer,8024.49,22.67,0.69,3.91,0.17,201,724,10.5,83.8,0
2023-10-10 23:19,U2263,626.6,transfer,6685.72,34.08,4,3.05,0.14,170,840,85.8,89.8,0
2023-07-17 16:43,U5963,326.89,transfer,10682.91,32.71,3.41,2.31,1.63,120,819,73.6,87.6,0
INVALID_DATE_FORMAT_STRING,U4612,2170.43,investment,14403.75,15.87,4.11,2.99,0.6,120,690,45.7,91.2,0
2023-06-01 8:34,U4077,468.6,TRANSFER,14023.13,20.12,5,2.28,-0.79,341,656,80,21.6,0
2023-05-20 7:41,U4479,1520.51,withdrawal,15519.99,20.7,4.01,1.04,1.09,314,760,52.6,20.3,0
2023-04-07 11:48,U3098,1851.94,withdrawal,15556.26,35.27,3.17,5.6,2.22,250,716,30.2,58,0
2023-02-15 3:03,U8013,626.71,deposit,6038.58,21.86,1.8,3.6,-3.15,25,773,46.3,70.1,1
2023-02-02 14:26,U9029,5054.19,investment,9853.99,11.11,1.42,3.83,-1.06,41,457,82.2,22.5,2
2023-01-26 23:51,U8854,208.03,withdrawal,8191.98,15.42,2.24,1.56,-1.96,314,604,24.7,62.9,1
2023-09-25 20:09,U9949,1799.07,transfer,11146.91,33.28,1.4,4.41,-3.27,140,676,50.3,17.7,1
2023-07-29 19:54,U7241,614.41,deposit,9295.23,29.31,4.78,3.47,-2.8,245,386,46,55.3,2
2023-04-13 12:36,U1188,671.29,deposit,11519.25,10.62,0.55,3.69,0.93,250,515,77.5,82.7,1
2023-02-02 16:50,U7358,1650.17,deposit,15312.56,32.66,1.47,2.81,1.87,98,568,63.7,63.4,1
2023-10-11 20:44,U6680,8401.05,investment,21753.4,17.43,1.29,3.43,0.49,75,517,80.8,54.2,1
2023-04-29 8:08,U9182,1137.74,deposit,11117.65,11.35,2.86,4.35,0.51,290,558,45,81,1
2023-06-17 7:15,U2969,1760.62,withdrawal,5535.29,37.02,1.12,1.79,-1.26,163,510,15.2,81.7,2
2023-04-27 3:54,U5539,310.62,transfer,7282.76,34.7,2.11,4.52,1.03,128,347,36.3,16,1
2023-07-23 10:53,U1120,1606.39,investment,15629.69,12.15,1.25,1.45,-1.77,241,637,46.2,18.7,1
2023-11-23 10:01, U1523 ,994.97,withdrawal,8459.24,10.09,3.35,1.24,-0.09,63,637,78.1,39.9,0
2023-06-21 15:33,U1230,396.64,withdrawal,8601.31,34.32,2.85,2.35,0.35,100,755,24.9,74.3,0
2023-06-10 22:45,U8361,9426.89,investment,24169.6,31.13,4.8,2.48,0.78,244,554,85.8,77.5,2
2023-05-30 3:05,U1070,176.00 USD,deposit,9580.93,29.81,4.5,1.54,-1.26,57,796,48,47.3,1
2023-12-19 21:00,U7204,9064.37,investment,20148.26,12.88,4.35,3.96,-0.12,168,731,78.9,78.4,0
2023-07-17 6:56,U6323,256.56,withdrawal,6834.03,31.12,1.08,4.57,-1.9,227,302,56.4,82.6,2
2023-04-28 17:40,U9496,1133.22,deposit,3119.42,31.88,4.19,2.18,0.33,243,840,64.7,35.4,0
2023-02-12 8:24,U8122,420.14,deposit,8684.38,38.92,2.04,5.16,1.42,313,754,16.3,20.4,0
2023-04-12 15:42,U7374 ,2750.82,investment,9037.91,13.65,2.03,5.76,-0.55,320,519,63.2,67.3,1
2023-09-10 8:17,U1233,"1,459.43",deposit,7063.67,37.95,0.78,2.71,1.04,240,488,75.5,70.2,1
2023-01-02 19:56,U5758,3046.22,INVESTMENT,6477.39,30.73,1.91,3.22,1.1,173,308,87.1,31.1,1
2023-01-15 19:08,U2499,870.48,transfer,8041.41,11.79,4.73,5.16,-0.15,177,559,32.6,22,1
2023-09-08 15:19,U9528,1155.44,INVALID_CATEGORY_DEFAULT,5977.01,14.68,4.28,4.63,-0.71,357,768,85.5,26.1,0
2023-07-09 15:18,U3537,618.42,deposit,11125.9,26.88,2.89,3.8,1.22,78,678,55.8,30.1,0
2023-06-16 4:22,U1887,294.18,withdrawal,11486.09,30.26,3.21,1.84,-0.28,112,395,53.2,92.6,1
